weekid,week_position,song,performer,weeks_on_chart,peak_position,spotify_track_duration_ms,spotify_track_explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
2001-12-08,95,Take You Out,Luther Vandross,17,95,206066,false,0.752,0.575,8,-5.254,true,0.0549,0.077,0.0,0.125,0.569,86.004,4
1995-03-04,100,Take You There,Pete Rock & C.L. Smooth,5,76,284533,false,0.746,0.516,7,-10.643,true,0.246,0.0371,0.000736,0.228,0.565,94.955,4
2008-05-03,47,Take You There,Sean Kingston,25,7,236693,false,0.752,0.921,5,-4.321,false,0.0696,0.0182,0.0,0.256,0.634,115.033,4
1980-06-21,67,Take You Tonight,Ozark Mountain Daredevils,5,67,,,,,,,,,,,,,,
2009-11-07,80,Take Your Shirt Off,T-Pain,1,80,228893,true,0.775,0.865,2,-1.677,true,0.275,0.0113,0.0,0.287,0.424,189.949,4
1980-10-18,88,Take Your Time (Do It Right) Part 1,The S.O.S. Band,21,3,,,,,,,,,,,,,,
1964-11-07,25,Ride The Wild Surf,Jan & Dean,8,16,138600,false,0.462,0.616,9,-12.356,true,0.0518,0.808,0.0,0.233,0.701,146.13,4
1967-06-17,25,Six O'Clock,The Lovin' Spoonful,8,18,161226,false,0.592,0.483,7,-11.348,true,0.0475,0.351,0.0,0.201,0.719,126.499,4
1969-05-03,60,Badge,Cream,5,60,164706,false,0.593,0.555,7,-14.291,true,0.038,0.461,0.0000996,0.084,0.771,106.04,4
1965-05-22,60,Come On Over To My Place,The Drifters,5,60,151533,false,0.716,0.741,1,-6.549,false,0.0673,0.297,0.0,0.0409,0.817,128.099,4
1968-11-09,61,Ride My See-Saw,The Moody Blues,5,61,,,,,,,,,,,,,,
1975-06-14,61,Sex Machine (Part I),James Brown,5,61,348720,false,0.747,0.988,7,-3.785,true,0.074,0.544,0.00507,0.394,0.584,106.353,4
1967-02-04,62,Oh Yeah!,The Joe Cuba Sextet,5,62,,,,,,,,,,,,,,
1979-02-24,62,"Baby, I Need Your Lovin'",Eric Carmen,5,62,196986,false,0.679,0.501,2,-10.682,false,0.0451,0.239,0.0,0.0797,0.71,113.436,4
1973-05-26,62,Only In Your Heart,America,5,62,197000,false,0.453,0.579,0,-9.055,true,0.0441,0.591,0.0218,0.323,0.441,82.034,4
2021-05-29,63,Ski,Young Thug & Gunna,5,18,,,,,,,,,,,,,,
1961-08-05,63,Ready For Your Love,Shep And The Limelites,5,42,167333,false,0.405,0.29,8,-11.237,true,0.0334,0.859,0.0,0.229,0.538,181.817,3
1961-04-01,63,Blue Moon,Herb Lance & The Classics,5,50,,,,,,,,,,,,,,
1977-07-30,63,Platinum Heroes,Bruce Foster,5,63,,,,,,,,,,,,,,
1967-10-07,63,Sunshine Games,The Music Explosion,5,63,,,,,,,,,,,,,,
1978-11-04,63,Do You Feel All Right,KC And The Sunshine Band,5,63,162200,false,0.763,0.817,0,-12.844,true,0.0438,0.19,0.0147,0.287,0.855,119.268,4
1977-12-10,63,Sad Eyes,Brooklyn Dreams,5,63,,,,,,,,,,,,,,
1965-04-03,64,Please Let Me Wonder,The Beach Boys,5,52,167266,false,0.54,0.49,10,-8.141,true,0.0305,0.777,0.208,0.104,0.488,116.968,4
1970-03-21,64,A Change Is Gonna Come & People Gotta Be Free/The Declaration,The 5th Dimension,5,60,,,,,,,,,,,,,,
1968-08-31,64,Sudden Stop,Percy Sledge,5,63,168866,false,0.467,0.181,4,-13.016,true,0.0277,0.333,0.00000454,0.137,0.362,69.482,4
1966-05-28,64,Please Don't Sell My Daddy No More Wine,The Greenwoods,5,64,,,,,,,,,,,,,,
1977-01-01,64,St. Charles,Jefferson Starship,5,64,401040,false,0.351,0.739,4,-9.675,false,0.044,0.345,0.0382,0.369,0.413,127.979,4
1977-10-01,64,Dog Days,Atlanta Rhythm Section,5,64,216800,false,0.417,0.431,5,-9.104,false,0.0315,0.0817,0.000793,0.103,0.0869,65.182,4
1970-04-04,64,Add Some Music To Your Day,The Beach Boys,5,64,215893,false,0.513,0.35,9,-10.99,true,0.0267,0.0294,0.0,0.0792,0.49,108.132,4
1973-05-05,64,Always,Luther Ingram,5,64,269426,false,0.619,0.614,8,-8.795,true,0.0257,0.105,0.0,0.194,0.703,106.617,3
1961-11-25,64,On Bended Knees,Clarence Henry,5,64,111066,false,0.642,0.405,8,-6.835,true,0.041,0.794,0.0,0.092,0.815,89.857,4
1967-05-27,65,A Beautiful Story,Sonny & Cher,5,53,172800,false,0.474,0.328,7,-10.766,true,0.0338,0.737,0.0,0.128,0.602,159.172,3
1972-12-16,65,Day And Night,The Wackers,5,65,186253,false,0.674,0.738,2,-10.158,true,0.0697,0.323,0.00000617,0.103,0.964,165.228,4
1975-11-22,65,Bringing It Back,Elvis Presley,5,65,178306,false,0.687,0.581,7,-11.304,true,0.0336,0.258,0.0,0.0804,0.517,119.695,4
1977-02-19,65,Daddy Cool,Boney M,5,65,208600,false,0.763,0.777,5,-6.932,false,0.0364,0.281,0.78,0.134,0.929,124.431,4
1979-05-05,65,(Sittin' On) The Dock Of The Bay,Sammy Hagar,5,65,182466,false,0.655,0.52,11,-10.262,false,0.0292,0.0981,0.0,0.104,0.759,110.824,4
1972-02-05,65,Another Puff,Jerry Reed,5,65,245240,false,0.726,0.441,0,-16.405,true,0.0945,0.955,0.2,0.096,0.685,86.716,4
2000-01-22,66,Auld Lang Syne,Kenny G,5,7,293346,false,0.16,0.296,0,-11.86,true,0.0348,0.111,0.847,0.101,0.0388,62.33,4
1962-03-10,66,B'wa Nina (Pretty Girl),The Tokens,5,55,,,,,,,,,,,,,,
1965-04-10,66,Poor Man's Son,The Reflections,5,55,,,,,,,,,,,,,,
1964-02-29,66,Shimmy Shimmy,The Orlons,5,66,139933,false,0.499,0.893,7,-5.582,true,0.056,0.704,0.000129,0.233,0.962,177.075,4
1966-03-12,66,Batman,Jan & Dean,5,66,167133,false,0.523,0.478,0,-16.905,true,0.0493,0.731,0.0,0.329,0.826,137.73,4
1976-04-10,66,Queen Of Clubs,KC And The Sunshine Band,5,66,183293,false,0.583,0.73,7,-7.585,true,0.0515,0.405,0.0000136,0.0952,0.782,132.552,4
1965-05-22,66,Super-cali-fragil-istic-expi-ali-docious,Julie Andrews-Dick Van Dyke,5,66,,,,,,,,,,,,,,
1971-03-13,66,Ain't It A Sad Thing,R. Dean Taylor,5,66,148026,false,0.492,0.889,7,-3.257,true,0.0429,0.482,0.00267,0.075,0.848,172.23,4
1985-05-25,67,OO-EE-Diddley-Bop,Peter Wolf,5,61,,,,,,,,,,,,,,
1966-05-21,67,Remember The Rain,Bob Lind,5,64,168733,false,0.566,0.622,4,-7.665,true,0.0302,0.243,0.0,0.191,0.763,110.979,4
1965-02-27,67,Comin' On Too Strong,Wayne Newton,5,65,145160,false,0.622,0.505,0,-10.685,true,0.0347,0.422,0.000245,0.0862,0.836,133.17,4
1968-09-28,67,(There's) Always Something There To Remind Me,Dionne Warwick,5,65,179506,false,0.68,0.328,5,-13.69,true,0.0673,0.737,0.0,0.581,0.821,84.04,4
1968-11-30,67,California Earthquake,Mama Cass,5,67,,,,,,,,,,,,,,
1982-09-25,67,She Looks A Lot Like You,Clocks,5,67,151900,false,0.491,0.837,4,-5.19,false,0.0441,0.143,0.00456,0.284,0.766,128.002,4
1964-02-29,67,Comin' On,Bill Black's Combo,5,67,130093,false,0.915,0.399,7,-8.803,true,0.106,0.725,0.944,0.205,0.983,107.338,4
1973-08-11,67,Darling Come Back Home,Eddie Kendricks,5,67,253266,false,0.562,0.594,9,-13.518,false,0.0535,0.0854,0.0000108,0.0798,0.816,83.523,4
1963-03-16,68,Ridin' The Wind,The Tornadoes,5,63,,,,,,,,,,,,,,
1964-04-11,68,Congratulations,Rick Nelson,5,63,,,,,,,,,,,,,,
1968-11-02,68,Destination: Anywhere,The Marvelettes,5,63,158680,false,0.718,0.555,7,-8.19,false,0.0339,0.095,0.000036,0.318,0.877,116.521,4
1972-07-08,68,Papa Was A Rollin' Stone,The Undisputed Truth,5,63,206440,false,0.684,0.432,3,-13.703,false,0.0837,0.433,0.00000996,0.0731,0.763,117.403,4
1969-04-05,68,Shotgun,Vanilla Fudge,5,68,148613,false,0.23,0.953,2,-4.114,true,0.124,0.000184,0.000593,0.321,0.277,105.811,4
